provider_number,state,price,mcare_discharges,year,hrrp_payment,beds,tot_mcare_payment,uncomp_care,state_name,expanded,date_adopted
010001,AL,4417.7068934130775,8207,2010,NA,408,78713621,90806676,Alabama,FALSE,NA
010001,AL,4476.453393036723,7756,2011,NA,408,76620691,NA,Alabama,FALSE,NA
010001,AL,4904.60691789194,7790,2012,NA,408,71694012,NA,Alabama,FALSE,NA
010001,AL,4141.384472023712,7941,2013,NA,408,78717136,NA,Alabama,FALSE,NA
010001,AL,5361.0168274595435,8471,2014,NA,398,80577316,NA,Alabama,FALSE,NA
010001,AL,5257.0405380089815,8329,2015,202250,400,75760354,106497012,Alabama,FALSE,NA
010005,AL,1731.018863673388,2360,2010,NA,114,16663582,25141783,Alabama,FALSE,NA
010005,AL,1326.689964607351,2109,2011,NA,114,15978093,4438056,Alabama,FALSE,NA
010005,AL,640.9854306188747,3930,2012,NA,204,28853253,41035167,Alabama,FALSE,NA
010005,AL,1219.468491731178,4045,2013,NA,204,30772949,41023906,Alabama,FALSE,NA
010005,AL,1557.1531662096202,3938,2014,NA,204,28288603,40613954,Alabama,FALSE,NA
010005,AL,1471.7373360140307,3739,2015,169522,204,28359414,35673906,Alabama,FALSE,NA
010006,AL,3773.555905271464,5143,2010,NA,358,42987588,97595621,Alabama,FALSE,NA
010006,AL,4611.551640598308,5237,2011,NA,358,46094313,NA,Alabama,FALSE,NA
010006,AL,4811.228966703219,5275,2012,NA,358,43016584,NA,Alabama,FALSE,NA
010006,AL,4991.553912954877,4972,2013,NA,358,43656379,45124405,Alabama,FALSE,NA
010006,AL,4604.281348747437,5777,2014,NA,358,49855012,52483138,Alabama,FALSE,NA
010006,AL,4018.1368587296856,5867,2015,NA,358,51037052,42421150,Alabama,FALSE,NA
010007,AL,521.8420484772032,1182,2010,NA,78,5632363,3959905,Alabama,FALSE,NA
010007,AL,839.5696792452427,981,2011,NA,78,4639510,NA,Alabama,FALSE,NA
010007,AL,464.84646309343964,819,2012,NA,78,3976081,NA,Alabama,FALSE,NA
010007,AL,3121.079389684381,652,2013,22293,45,3225364,3474418,Alabama,FALSE,NA
010007,AL,422.9298911176202,708,2014,17184,45,3637534,4124162,Alabama,FALSE,NA
010007,AL,901.778131805074,813,2015,14134,45,4191586,4279201,Alabama,FALSE,NA
010009,AL,10696.442858033251,774,2010,NA,130,4120130,NA,Alabama,FALSE,NA
010009,AL,11767.876586474384,707,2011,NA,130,3798072,NA,Alabama,FALSE,NA
010009,AL,8766.11568962031,572,2012,NA,130,3103887,NA,Alabama,FALSE,NA
010010,AL,2646.5675481557178,2209,2010,NA,89,14728683,15347188,Alabama,FALSE,NA
010010,AL,1567.119709719404,2278,2011,NA,90,14688794,2940797,Alabama,FALSE,NA
010011,AL,8854.863428170707,4295,2010,NA,302,37619199,30035407,Alabama,FALSE,NA
010011,AL,8309.742656440532,4069,2011,NA,279,37127682,NA,Alabama,FALSE,NA
010011,AL,8227.856846481562,4133,2012,NA,279,40802808,NA,Alabama,FALSE,NA
010011,AL,6402.23411531811,4117,2013,122182,279,42019878,NA,Alabama,FALSE,NA
010011,AL,5159.333558915934,3986,2014,41931,313,42585172,NA,Alabama,FALSE,NA
010011,AL,5656.417586412821,4135,2015,85586,313,42572385,NA,Alabama,FALSE,NA
010012,AL,4983.288955224217,1819,2010,NA,103,12308078,20479554,Alabama,FALSE,NA
010012,AL,6773.937608837336,1666,2011,NA,97,10937213,17448072,Alabama,FALSE,NA
010012,AL,5366.692436999709,1485,2012,NA,97,9452911,18669924,Alabama,FALSE,NA
010012,AL,5807.151275486157,1427,2013,11169,97,9529770,17656740,Alabama,FALSE,NA
010012,AL,6413.898794194389,1187,2014,19127,97,8034589,15989764,Alabama,FALSE,NA
010012,AL,5787.900582854216,1068,2015,31154,97,7276644,15855895,Alabama,FALSE,NA
010016,AL,7013.807657879266,2777.2000000000003,2010,0,192,24416975.4,47991336.4,Alabama,FALSE,NA
010019,AL,2922.8875714860405,2817,2010,NA,185,21318811,16963103,Alabama,FALSE,NA
010019,AL,2403.824087399872,2970,2011,NA,185,21677492,NA,Alabama,FALSE,NA
010019,AL,2277.4528793743457,3066,2012,NA,185,21915245,NA,Alabama,FALSE,NA
010019,AL,1000.2564380914985,3106,2013,33721,185,23700549,NA,Alabama,FALSE,NA
010019,AL,444.242751753924,2417.4,2014,2357,185,18497558.6,NA,Alabama,FALSE,NA
010019,AL,1148.6672975939127,2359,2015,15480,185,17067150,28284049,Alabama,FALSE,NA
010021,AL,2046.2361705633245,835,2010,NA,77,5847087,6336607,Alabama,FALSE,NA
010021,AL,2285.63574401321,788,2011,NA,77,4966009,NA,Alabama,FALSE,NA
010021,AL,966.0300915660266,779,2012,NA,77,4867964,NA,Alabama,FALSE,NA
010021,AL,2161.8490932063255,716,2013,NA,77,5133452,NA,Alabama,FALSE,NA
010021,AL,2006.5534905774566,670,2014,NA,77,4942562,NA,Alabama,FALSE,NA
010021,AL,2140.7305558601583,700,2015,34727,77,4945530,NA,Alabama,FALSE,NA
010023,AL,6769.538927415007,5423,2010,NA,363,63285106,NA,Alabama,FALSE,NA
010023,AL,5372.314712510373,5152,2011,NA,363,59867263,NA,Alabama,FALSE,NA
010023,AL,6817.604902006477,5273,2012,NA,363,62128262,NA,Alabama,FALSE,NA
010023,AL,8466.622313424075,5114,2013,241943,363,61855450,NA,Alabama,FALSE,NA
010023,AL,8919.619372269426,4542,2014,150162,363,55627283,NA,Alabama,FALSE,NA
