contractid,planid,ssa,fips,state,county,enrollment
H0111,1,11000,13001,GA,Appling,11
H0111,1,11030,13009,GA,Baldwin,27
H0111,1,11050,13013,GA,Barrow,47
H0111,1,11060,13015,GA,Bartow,43
H0111,1,11070,13017,GA,Ben Hill,14
H0111,1,11080,13019,GA,Berrien,13
H0111,1,11090,13021,GA,Bibb,116
H0111,1,11100,13023,GA,Bleckley,21
H0111,1,11110,13025,GA,Brantley,40
H0111,1,11130,13029,GA,Bryan,73
H0111,1,11150,13033,GA,Burke,44
H0111,1,11160,13035,GA,Butts,42
H0111,1,11170,13039,GA,Camden,113
H0111,1,11190,13045,GA,Carroll,108
H0111,1,11220,13051,GA,Chatham,598
H0111,1,11250,13057,GA,Cherokee,179
H0111,1,11260,13059,GA,Clarke,44
H0111,1,11280,13063,GA,Clayton,143
H0111,1,11290,13067,GA,Cobb,525
H0111,1,11291,13069,GA,Coffee,24
H0111,1,11300,13071,GA,Colquitt,21
H0111,1,11310,13073,GA,Columbia,205
H0111,1,11311,13075,GA,Cook,17
H0111,1,11320,13077,GA,Coweta,59
H0111,1,11360,13087,GA,Decatur,17
H0111,1,11370,13089,GA,DeKalb,377
H0111,1,11380,13091,GA,Dodge,13
H0111,1,11400,13097,GA,Douglas,164
H0111,1,11421,13103,GA,Effingham,128
H0111,1,11440,13107,GA,Emanuel,26
H0111,1,11451,13113,GA,Fayette,42
H0111,1,11460,13115,GA,Floyd,18
H0111,1,11461,13117,GA,Forsyth,54
H0111,1,11462,13119,GA,Franklin,11
H0111,1,11470,13121,GA,Fulton,322
H0111,1,11490,13127,GA,Glynn,204
H0111,1,11500,13129,GA,Gordon,13
H0111,1,11510,13131,GA,Grady,19
H0111,1,11520,13133,GA,Greene,18
H0111,1,11530,13135,GA,Gwinnett,373
H0111,1,11550,13139,GA,Hall,18
H0111,1,11570,13143,GA,Haralson,26
H0111,1,11580,13145,GA,Harris,46
H0111,1,11581,13147,GA,Hart,12
H0111,1,11591,13151,GA,Henry,116
H0111,1,11600,13153,GA,Houston,79
H0111,1,11610,13157,GA,Jackson,19
H0111,1,11620,13163,GA,Jefferson,27
H0111,1,11630,13165,GA,Jenkins,18
H0111,1,11650,13169,GA,Jones,19
H0111,1,11651,13171,GA,Lamar,17
H0111,1,11680,13179,GA,Liberty,75
H0111,1,11690,13181,GA,Lincoln,17
H0111,1,11700,13185,GA,Lowndes,197
H0111,1,11702,13189,GA,McDuffie,57
H0111,1,11703,13191,GA,McIntosh,66
H0111,1,11720,13195,GA,Madison,19
H0111,1,11740,13199,GA,Meriwether,28
H0111,1,11750,13205,GA,Mitchell,21
H0111,1,11760,13207,GA,Monroe,42
H0111,1,11772,13213,GA,Murray,12
H0111,1,11780,13215,GA,Muscogee,246
H0111,1,11790,13217,GA,Newton,91
H0111,1,11800,13219,GA,Oconee,23
H0111,1,11810,13223,GA,Paulding,237
H0111,1,11811,13225,GA,Peach,19
H0111,1,11812,13227,GA,Pickens,27
H0111,1,11821,13231,GA,Pike,13
H0111,1,11830,13233,GA,Polk,24
H0111,1,11831,13235,GA,Pulaski,13
H0111,1,11832,13237,GA,Putnam,18
H0111,1,11840,13245,GA,Richmond,413
H0111,1,11841,13247,GA,Rockdale,79
H0111,1,11850,13251,GA,Screven,17
H0111,1,11860,13255,GA,Spalding,61
H0111,1,11862,13259,GA,Stewart,13
H0111,1,11880,13263,GA,Talbot,16
H0111,1,11890,13275,GA,Thomas,37
H0111,1,11900,13277,GA,Tift,21
H0111,1,11910,13285,GA,Troup,79
H0111,1,11920,13293,GA,Upson,27
H0111,1,11921,13295,GA,Walker,23
H0111,1,11930,13297,GA,Walton,40
H0111,1,11940,13299,GA,Ware,20
H0111,1,11950,13303,GA,Washington,12
H0111,1,11960,13305,GA,Wayne,26
H0111,1,11970,13313,GA,Whitfield,38
H0111,1,11972,13317,GA,Wilkes,16
H0111,2,11220,13051,GA,Chatham,32
H0111,2,11250,13057,GA,Cherokee,23
H0111,2,11280,13063,GA,Clayton,13
H0111,2,11290,13067,GA,Cobb,108
H0111,2,11310,13073,GA,Columbia,17
H0111,2,11370,13089,GA,DeKalb,42
H0111,2,11470,13121,GA,Fulton,13
H0111,2,11530,13135,GA,Gwinnett,14
H0111,2,11591,13151,GA,Henry,12
H0111,2,11780,13215,GA,Muscogee,12
H0111,2,11830,13233,GA,Polk,16
H0111,2,11840,13245,GA,Richmond,42
H0111,2,11841,13247,GA,Rockdale,17
H0111,3,11220,13051,GA,Chatham,11
H0111,3,11250,13057,GA,Cherokee,13
H0111,3,11290,13067,GA,Cobb,50
H0111,3,11370,13089,GA,DeKalb,29
H0111,3,11400,13097,GA,Douglas,11
H0111,3,11470,13121,GA,Fulton,11
H0111,3,11530,13135,GA,Gwinnett,22
H0111,3,11810,13223,GA,Paulding,12
H0111,3,11840,13245,GA,Richmond,16
H0111,4,11030,13009,GA,Baldwin,31
H0111,4,11050,13013,GA,Barrow,23
H0111,4,11060,13015,GA,Bartow,26
H0111,4,11090,13021,GA,Bibb,112
H0111,4,11110,13025,GA,Brantley,26
H0111,4,11130,13029,GA,Bryan,16
H0111,4,11150,13033,GA,Burke,31
H0111,4,11160,13035,GA,Butts,18
H0111,4,11170,13039,GA,Camden,32
H0111,4,11190,13045,GA,Carroll,113
H0111,4,11220,13051,GA,Chatham,147
H0111,4,11250,13057,GA,Cherokee,35
H0111,4,11260,13059,GA,Clarke,40
H0111,4,11280,13063,GA,Clayton,136
H0111,4,11290,13067,GA,Cobb,169
H0111,4,11300,13071,GA,Colquitt,13
H0111,4,11310,13073,GA,Columbia,43
H0111,4,11320,13077,GA,Coweta,31
H0111,4,11370,13089,GA,DeKalb,318
H0111,4,11380,13091,GA,Dodge,16
H0111,4,11400,13097,GA,Douglas,70
H0111,4,11440,13107,GA,Emanuel,32
H0111,4,11451,13113,GA,Fayette,18
H0111,4,11460,13115,GA,Floyd,14
