ssa,state,county_name,parta_enroll,parta_reimb,partb_enroll,partb_reimb
11000,GEORGIA,APPLING,1625,7216075,1472,9592698
11010,GEORGIA,ATKINSON,627,2179418,555,3652287
11011,GEORGIA,BACON,969,4213581,910,6235261
11020,GEORGIA,BAKER,104,617882,88,489095
11030,GEORGIA,BALDWIN,3741,14691960,3235,20101476
11040,GEORGIA,BANKS,1259,4284767,1119,6185603
11050,GEORGIA,BARROW,7000,31877745,6111,39926192
11060,GEORGIA,BARTOW,9546,47833007,8440,53196936
11070,GEORGIA,BEN HILL,1640,6536646,1492,7902430
11080,GEORGIA,BERRIEN,2011,9487905,1848,12364072
11090,GEORGIA,BIBB,16200,71019141,14131,89162254
11100,GEORGIA,BLECKLEY,707,3120640,634,4364803
11110,GEORGIA,BRANTLEY,1612,7314862,1478,8813554
11120,GEORGIA,BROOKS,1389,6236676,1271,7215433
11130,GEORGIA,BRYAN,3810,12307132,3338,19248150
11140,GEORGIA,BULLOCH,5457,25688023,4902,29968678
11150,GEORGIA,BURKE,1515,6881068,1275,7568758
11160,GEORGIA,BUTTS,2402,10523786,2111,12953629
11161,GEORGIA,CALHOUN,672,4313635,617,4204111
11170,GEORGIA,CAMDEN,6003,25681776,5344,34364424
11180,GEORGIA,CANDLER,898,5376595,810,5134294
11190,GEORGIA,CARROLL,11546,52035767,10205,63270359
11200,GEORGIA,CATOOSA,5998,23041576,5378,33515804
11210,GEORGIA,CHARLTON,1172,6007609,1033,6426253
11220,GEORGIA,CHATHAM,26412,105391662,23125,143731487
11230,GEORGIA,CHATTAHOOCHEE,325,1080250,288,1395373
11240,GEORGIA,CHATTOOGA,2650,13375897,2446,14482796
11250,GEORGIA,CHEROKEE,12647,51009531,11275,82567325
11260,GEORGIA,CLARKE,10435,35803205,9306,59642118
11270,GEORGIA,CLAY,272,1430060,255,1327673
11280,GEORGIA,CLAYTON,23823,82432010,18512,109404769
11281,GEORGIA,CLINCH,645,3717154,612,5189216
11290,GEORGIA,COBB,76255,277041939,65172,426961139
11291,GEORGIA,COFFEE,3333,12855992,3064,20521930
11300,GEORGIA,COLQUITT,3943,23123332,3605,25831592
11310,GEORGIA,COLUMBIA,13974,47022002,12284,69144553
11311,GEORGIA,COOK,1615,7078620,1463,9237480
11320,GEORGIA,COWETA,13186,43220968,11260,72456977
11330,GEORGIA,CRAWFORD,517,2144643,462,3208122
11340,GEORGIA,CRISP,1906,7970922,1744,10068863
11341,GEORGIA,DADE,2357,7105622,2131,12734967
11350,GEORGIA,DAWSON,3712,14007535,3299,23546692
11360,GEORGIA,DECATUR,2708,10913390,2446,15466905
11370,GEORGIA,DEKALB,43901,179842405,35237,213193473
11380,GEORGIA,DODGE,2854,15291864,2641,17692980
11381,GEORGIA,DOOLY,857,3540022,772,4959732
11390,GEORGIA,DOUGHERTY,7947,33875045,7137,41218094
11400,GEORGIA,DOUGLAS,9263,41430036,7709,49777983
11410,GEORGIA,EARLY,1076,4845376,1023,6775162
11420,GEORGIA,ECHOLS,90,544814,81,434593
11421,GEORGIA,EFFINGHAM,4846,18914068,4250,24327133
11430,GEORGIA,ELBERT,2440,11176599,2234,13044715
11440,GEORGIA,EMANUEL,2024,9352622,1820,10002904
11441,GEORGIA,EVANS,957,3207958,866,4419616
11450,GEORGIA,FANNIN,4998,15865332,4703,30503479
11451,GEORGIA,FAYETTE,14313,48021213,12341,77593881
11460,GEORGIA,FLOYD,10366,55835689,9418,59733195
11461,GEORGIA,FORSYTH,14469,52598499,12727,94068830
11462,GEORGIA,FRANKLIN,2938,10819057,2668,16199273
11470,GEORGIA,FULTON,60958,264194648,50709,324615980
11471,GEORGIA,GILMER,5208,19319754,4801,31521984
11480,GEORGIA,GLASCOCK,344,1513270,321,1762388
11490,GEORGIA,GLYNN,11788,49518419,10537,63299228
11500,GEORGIA,GORDON,6154,24766095,5532,35220380
11510,GEORGIA,GRADY,2210,7706910,1969,11969079
11520,GEORGIA,GREENE,3720,11300930,3424,22166987
11530,GEORGIA,GWINNETT,48864,169673594,41053,258474009
11540,GEORGIA,HABERSHAM,5200,17491208,4656,28375592
11550,GEORGIA,HALL,19923,76714530,17540,116876767
11560,GEORGIA,HANCOCK,834,2446383,752,4598584
11570,GEORGIA,HARALSON,2815,13774559,2541,16485070
11580,GEORGIA,HARRIS,3229,10899435,2863,16252040
11581,GEORGIA,HART,2650,12314186,2482,15276139
11590,GEORGIA,HEARD,785,3177497,692,4166230
11591,GEORGIA,HENRY,15942,58038852,13105,76811177
11600,GEORGIA,HOUSTON,16416,60456185,14695,95363210
11601,GEORGIA,IRWIN,734,3647817,654,3287821
11610,GEORGIA,JACKSON,10305,38387238,9066,58745907
11611,GEORGIA,JASPER,1108,4632828,970,5535106
11612,GEORGIA,JEFF DAVIS,1371,4101440,1239,7676708
11620,GEORGIA,JEFFERSON,1609,7843256,1442,8407421
11630,GEORGIA,JENKINS,631,3160122,555,3623257
11640,GEORGIA,JOHNSON,802,3632896,729,3927276
11650,GEORGIA,JONES,1610,6384988,1424,8792240
11651,GEORGIA,LAMAR,1698,6961320,1496,8702548
11652,GEORGIA,LANIER,698,2536176,640,4367280
11660,GEORGIA,LAURENS,5258,21077480,4583,27266953
11670,GEORGIA,LEE,2386,9050711,2122,12923860
11680,GEORGIA,LIBERTY,4587,13513281,4154,19862101
11690,GEORGIA,LINCOLN,992,3464338,895,5323137
11691,GEORGIA,LONG,864,2733119,780,4061812
11700,GEORGIA,LOWNDES,12136,44436389,10930,64236450
11701,GEORGIA,LUMPKIN,3372,12618108,3099,19320246
11702,GEORGIA,MCDUFFIE,1900,7850739,1660,10143070
11703,GEORGIA,MCINTOSH,1538,7333001,1353,8487431
11710,GEORGIA,MACON,903,3864831,831,4537007
11720,GEORGIA,MADISON,3290,11831178,3018,17519454
11730,GEORGIA,MARION,448,1645144,414,2311151
11740,GEORGIA,MERIWETHER,1859,8138015,1636,9586210
11741,GEORGIA,MILLER,680,5265774,617,5190091
11750,GEORGIA,MITCHELL,1760,7103848,1604,10400587
11760,GEORGIA,MONROE,2282,7758877,2008,10544581
11770,GEORGIA,MONTGOMERY,714,3117912,645,3347986
11771,GEORGIA,MORGAN,2235,8846377,1981,11901191
11772,GEORGIA,MURRAY,4326,18816980,3982,26261101
11780,GEORGIA,MUSCOGEE,19797,77766284,17995,105174960
11790,GEORGIA,NEWTON,8446,37938632,7146,44585077
11800,GEORGIA,OCONEE,4110,14117668,3650,23500438
11801,GEORGIA,OGLETHORPE,968,4688915,888,6000650
11810,GEORGIA,PAULDING,8596,36589114,7354,47858469
11811,GEORGIA,PEACH,3985,15068295,3540,21278050
11812,GEORGIA,PICKENS,5417,18836043,4924,33300504
11820,GEORGIA,PIERCE,2320,11434116,2133,14076881
11821,GEORGIA,PIKE,1797,6712289,1580,9194233
11830,GEORGIA,POLK,4448,22043661,3983,24538924
11831,GEORGIA,PULASKI,1211,4641573,1085,6455838
11832,GEORGIA,PUTNAM,2902,10257808,2625,17831025
11833,GEORGIA,QUITMAN,63,232592,57,344949
11834,GEORGIA,RABUN,3150,8596196,2929,17747119
11835,GEORGIA,RANDOLPH,646,2716725,613,3421731
11840,GEORGIA,RICHMOND,19421,82145099,16641,88437209
11841,GEORGIA,ROCKDALE,6350,26262470,5177,31013536
11842,GEORGIA,SCHLEY,282,984627,260,1697358
11850,GEORGIA,SCREVEN,1360,8062279,1217,7562393
11851,GEORGIA,SEMINOLE,1114,4928761,1025,6067906
11860,GEORGIA,SPALDING,6634,28831239,5913,35455987
11861,GEORGIA,STEPHENS,4115,17727835,3734,23626044
11862,GEORGIA,STEWART,361,2082543,340,1924832
11870,GEORGIA,SUMTER,2448,10349811,2221,13308820
11880,GEORGIA,TALBOT,676,1919912,609,3539235
11881,GEORGIA,TALIAFERRO,186,526542,168,865129
11882,GEORGIA,TATTNALL,1953,8638839,1740,8390872
11883,GEORGIA,TAYLOR,883,4232544,801,4615659
11884,GEORGIA,TELFAIR,1139,4977004,1021,6378050
11885,GEORGIA,TERRELL,849,3384724,782,4253484
11890,GEORGIA,THOMAS,5714,21366942,5159,30204999
11900,GEORGIA,TIFT,3924,17238573,3543,21732582
11901,GEORGIA,TOOMBS,2811,11350872,2532,13771958
11902,GEORGIA,TOWNS,3079,9546558,2893,17936030
11903,GEORGIA,TREUTLEN,491,6282313,450,2275096
11910,GEORGIA,TROUP,6459,27315012,5614,34517440
11911,GEORGIA,TURNER,755,2882155,689,4528559
