contractid,planid,premium,premium_partc,premium_partd,year,county
H0111,1,0,0,0,2022,Appling
H0111,2,55,31.9,23.1,2022,Appling
H0111,3,85,63.7,21.3,2022,Appling
H0111,5,0,0,0,2022,Appling
H1112,34,0,NA,NA,2022,Appling
H1112,39,0,0,0,2022,Appling
H1112,42,0,0,0,2022,Appling
H1112,43,32.4,0,32.4,2022,Appling
H1924,1,NA,NA,NA,2022,Appling
H1924,4,NA,NA,NA,2022,Appling
H3288,25,0,0,0,2022,Appling
H3288,34,0,NA,NA,2022,Appling
H3288,38,32,5.3,26.7,2022,Appling
H5141,46,0,0,0,2022,Appling
H5141,47,32.4,0,32.4,2022,Appling
H5216,154,0,0,0,2022,Appling
H5216,157,0,NA,NA,2022,Appling
H5216,207,0,0,0,2022,Appling
H5216,217,0,NA,NA,2022,Appling
H5216,284,32.4,0,32.4,2022,Appling
H5216,286,0,NA,NA,2022,Appling
H5525,24,57,1.6,55.4,2022,Appling
H6528,6,0,0,0,2022,Appling
R2604,1,49,0,49,2022,Appling
R2604,5,0,NA,NA,2022,Appling
R3392,1,0,NA,NA,2022,Appling
R3392,2,103,47.2,55.8,2022,Appling
H0111,1,0,0,0,2022,Atkinson
H0111,2,55,31.9,23.1,2022,Atkinson
H0111,3,85,63.7,21.3,2022,Atkinson
H0111,5,0,0,0,2022,Atkinson
H1112,34,0,NA,NA,2022,Atkinson
H1112,42,0,0,0,2022,Atkinson
H1112,43,32.4,0,32.4,2022,Atkinson
H1112,44,0,0,0,2022,Atkinson
H1924,1,NA,NA,NA,2022,Atkinson
H1924,4,NA,NA,NA,2022,Atkinson
H5141,46,0,0,0,2022,Atkinson
H5141,47,32.4,0,32.4,2022,Atkinson
H5216,154,0,0,0,2022,Atkinson
H5216,157,0,NA,NA,2022,Atkinson
H5216,207,0,0,0,2022,Atkinson
H5216,217,0,NA,NA,2022,Atkinson
H5216,284,32.4,0,32.4,2022,Atkinson
H5216,286,0,NA,NA,2022,Atkinson
H5525,24,57,1.6,55.4,2022,Atkinson
H6528,6,0,0,0,2022,Atkinson
H8145,69,44,0,44,2022,Atkinson
R2604,1,49,0,49,2022,Atkinson
R2604,5,0,NA,NA,2022,Atkinson
R3392,1,0,NA,NA,2022,Atkinson
R3392,2,103,47.2,55.8,2022,Atkinson
H0111,1,0,0,0,2022,Bacon
H0111,2,55,31.9,23.1,2022,Bacon
H0111,3,85,63.7,21.3,2022,Bacon
H0111,5,0,0,0,2022,Bacon
H1112,34,0,NA,NA,2022,Bacon
H1112,39,0,0,0,2022,Bacon
H1112,42,0,0,0,2022,Bacon
H1112,43,32.4,0,32.4,2022,Bacon
H1924,1,NA,NA,NA,2022,Bacon
H1924,4,NA,NA,NA,2022,Bacon
H5141,46,0,0,0,2022,Bacon
H5141,47,32.4,0,32.4,2022,Bacon
H5216,154,0,0,0,2022,Bacon
H5216,157,0,NA,NA,2022,Bacon
H5216,207,0,0,0,2022,Bacon
H5216,217,0,NA,NA,2022,Bacon
H5216,284,32.4,0,32.4,2022,Bacon
H5216,286,0,NA,NA,2022,Bacon
H5525,24,57,1.6,55.4,2022,Bacon
H6528,6,0,0,0,2022,Bacon
R2604,1,49,0,49,2022,Bacon
R2604,5,0,NA,NA,2022,Bacon
R3392,1,0,NA,NA,2022,Bacon
R3392,2,103,47.2,55.8,2022,Bacon
H0111,1,0,0,0,2022,Baker
H0111,2,55,31.9,23.1,2022,Baker
H0111,3,85,63.7,21.3,2022,Baker
H0111,5,0,0,0,2022,Baker
H1112,34,0,NA,NA,2022,Baker
H1112,42,0,0,0,2022,Baker
H1112,43,32.4,0,32.4,2022,Baker
H1112,44,0,0,0,2022,Baker
H1924,1,NA,NA,NA,2022,Baker
H1924,4,NA,NA,NA,2022,Baker
H3288,23,0,0,0,2022,Baker
H3288,34,0,NA,NA,2022,Baker
H3288,36,32,3.2,28.8,2022,Baker
H4141,17,0,0,0,2022,Baker
H5141,46,0,0,0,2022,Baker
H5141,47,32.4,0,32.4,2022,Baker
H5216,154,0,0,0,2022,Baker
H5216,157,0,NA,NA,2022,Baker
H5216,203,0,0,0,2022,Baker
H5216,217,0,NA,NA,2022,Baker
H5216,284,32.4,0,32.4,2022,Baker
H5216,286,0,NA,NA,2022,Baker
H6528,6,0,0,0,2022,Baker
H6672,4,0,0,0,2022,Baker
H6672,5,19,0,19,2022,Baker
H8145,69,44,0,44,2022,Baker
H9589,3,0,0,0,2022,Baker
R2604,1,49,0,49,2022,Baker
R2604,5,0,NA,NA,2022,Baker
R3392,1,0,NA,NA,2022,Baker
R3392,2,103,47.2,55.8,2022,Baker
H0111,1,0,0,0,2022,Baldwin
H0111,2,55,31.9,23.1,2022,Baldwin
H0111,3,85,63.7,21.3,2022,Baldwin
H0111,5,0,0,0,2022,Baldwin
H1112,34,0,NA,NA,2022,Baldwin
H1112,42,0,0,0,2022,Baldwin
H1112,43,32.4,0,32.4,2022,Baldwin
H1112,44,0,0,0,2022,Baldwin
H1924,1,NA,NA,NA,2022,Baldwin
H1924,4,NA,NA,NA,2022,Baldwin
H3288,27,0,0,0,2022,Baldwin
H3288,34,0,NA,NA,2022,Baldwin
H3288,40,32,2.2,29.8,2022,Baldwin
H4141,17,0,0,0,2022,Baldwin
H5141,46,0,0,0,2022,Baldwin
H5141,47,32.4,0,32.4,2022,Baldwin
H5216,142,20,0,20,2022,Baldwin
H5216,154,0,0,0,2022,Baldwin
H5216,157,0,NA,NA,2022,Baldwin
H5216,207,0,0,0,2022,Baldwin
H5216,217,0,NA,NA,2022,Baldwin
H5216,284,32.4,0,32.4,2022,Baldwin
H5216,286,0,NA,NA,2022,Baldwin
H6528,6,0,0,0,2022,Baldwin
H6672,4,0,0,0,2022,Baldwin
H6672,5,19,0,19,2022,Baldwin
H8748,8,0,0,0,2022,Baldwin
H8748,9,49,8,41,2022,Baldwin
H9589,3,0,0,0,2022,Baldwin
R2604,1,49,0,49,2022,Baldwin
R2604,5,0,NA,NA,2022,Baldwin
R3392,1,0,NA,NA,2022,Baldwin
R3392,2,103,47.2,55.8,2022,Baldwin
H0111,1,0,0,0,2022,Banks
H0111,2,55,31.9,23.1,2022,Banks
H0111,3,85,63.7,21.3,2022,Banks
H0111,5,0,0,0,2022,Banks
H0439,3,20,0,20,2022,Banks
H0439,6,25,0,25,2022,Banks
H0439,10,0,0,0,2022,Banks
H1112,34,0,NA,NA,2022,Banks
H1112,38,0,0,0,2022,Banks
H1112,42,0,0,0,2022,Banks
H1112,43,32.4,0,32.4,2022,Banks
H1924,1,NA,NA,NA,2022,Banks
H1924,4,NA,NA,NA,2022,Banks
H3288,28,0,0,0,2022,Banks
H3288,34,0,NA,NA,2022,Banks
H3288,41,32,11.6,20.4,2022,Banks
H5141,46,0,0,0,2022,Banks
H5141,47,32.4,0,32.4,2022,Banks
H5216,154,0,0,0,2022,Banks
H5216,157,0,NA,NA,2022,Banks
H5216,207,0,0,0,2022,Banks
H5216,217,0,NA,NA,2022,Banks
H5216,284,32.4,0,32.4,2022,Banks
H5216,286,0,NA,NA,2022,Banks
H6528,6,0,0,0,2022,Banks
H6672,4,0,0,0,2022,Banks
H6672,5,19,0,19,2022,Banks
H7849,22,0,0,0,2022,Banks
H8748,8,0,0,0,2022,Banks
H8748,9,49,8,41,2022,Banks
H9589,3,0,0,0,2022,Banks
R2604,1,49,0,49,2022,Banks
R2604,5,0,NA,NA,2022,Banks
R3392,1,0,NA,NA,2022,Banks
R3392,2,103,47.2,55.8,2022,Banks
H0111,1,0,0,0,2022,Barrow
H0111,2,55,31.9,23.1,2022,Barrow
H0111,3,85,63.7,21.3,2022,Barrow
H0111,5,0,0,0,2022,Barrow
H0439,3,0,0,0,2022,Barrow
H0439,6,25,0,25,2022,Barrow
H0439,7,0,0,0,2022,Barrow
H1112,34,0,NA,NA,2022,Barrow
H1112,38,0,0,0,2022,Barrow
H1112,42,0,0,0,2022,Barrow
H1112,43,32.4,0,32.4,2022,Barrow
H1170,10,20,0,20,2022,Barrow
H1170,12,0,0,0,2022,Barrow
H1924,1,NA,NA,NA,2022,Barrow
H1924,4,NA,NA,NA,2022,Barrow
H3288,28,0,0,0,2022,Barrow
H3288,34,0,NA,NA,2022,Barrow
H3288,41,32,11.6,20.4,2022,Barrow
H4141,17,0,0,0,2022,Barrow
H5141,46,0,0,0,2022,Barrow
H5141,47,32.4,0,32.4,2022,Barrow
H5216,143,0,0,0,2022,Barrow
H5216,154,0,0,0,2022,Barrow
H5216,157,0,NA,NA,2022,Barrow
H5216,203,0,0,0,2022,Barrow
H5216,217,0,NA,NA,2022,Barrow
H5216,280,32.4,0,32.4,2022,Barrow
H5216,286,0,NA,NA,2022,Barrow
H5302,19,0,0,0,2022,Barrow
H5422,11,0,0,0,2022,Barrow
H5422,13,30.5,0,30.5,2022,Barrow
H5422,14,0,NA,NA,2022,Barrow
H5525,24,57,1.6,55.4,2022,Barrow
H6528,6,0,0,0,2022,Barrow
H6672,4,0,0,0,2022,Barrow
H6672,5,19,0,19,2022,Barrow
H7728,5,59,2.1,56.9,2022,Barrow
H7728,6,0,0,0,2022,Barrow
H7849,3,0,0,0,2022,Barrow
H8145,69,44,0,44,2022,Barrow
H8748,8,0,0,0,2022,Barrow
H8748,9,49,8,41,2022,Barrow
H9589,3,0,0,0,2022,Barrow
R2604,1,49,0,49,2022,Barrow
R2604,5,0,NA,NA,2022,Barrow
R3392,1,0,NA,NA,2022,Barrow
R3392,2,103,47.2,55.8,2022,Barrow
H0111,1,0,0,0,2022,Bartow
H0111,2,55,31.9,23.1,2022,Bartow
H0111,3,85,63.7,21.3,2022,Bartow
H0111,5,0,0,0,2022,Bartow
H0439,3,20,0,20,2022,Bartow
H0439,6,25,0,25,2022,Bartow
H0439,11,0,0,0,2022,Bartow
H1112,34,0,NA,NA,2022,Bartow
H1112,38,0,0,0,2022,Bartow
H1112,42,0,0,0,2022,Bartow
H1112,43,32.4,0,32.4,2022,Bartow
H1924,1,NA,NA,NA,2022,Bartow
H1924,4,NA,NA,NA,2022,Bartow
H3288,34,0,NA,NA,2022,Bartow
H4141,17,0,0,0,2022,Bartow
H5141,48,0,0,0,2022,Bartow
H5141,49,32.4,0,32.4,2022,Bartow
H5216,73,44,0,44,2022,Bartow
H5216,154,0,0,0,2022,Bartow
H5216,157,0,NA,NA,2022,Bartow
H5216,203,0,0,0,2022,Bartow
H5216,217,0,NA,NA,2022,Bartow
H5216,280,32.4,0,32.4,2022,Bartow
H5216,286,0,NA,NA,2022,Bartow
H5422,11,0,0,0,2022,Bartow
H5422,13,30.5,0,30.5,2022,Bartow
H5422,14,0,NA,NA,2022,Bartow
H5422,17,0,0,0,2022,Bartow
H5521,91,0,0,0,2022,Bartow
H5521,328,0,0,0,2022,Bartow
H6528,6,0,0,0,2022,Bartow
H7728,5,59,2.1,56.9,2022,Bartow
H7728,6,0,0,0,2022,Bartow
H7728,12,0,0,0,2022,Bartow
H7849,23,0,0,0,2022,Bartow
R2604,1,49,0,49,2022,Bartow
R2604,5,0,NA,NA,2022,Bartow
R3392,1,0,NA,NA,2022,Bartow
R3392,2,103,47.2,55.8,2022,Bartow
H0111,1,0,0,0,2022,Ben Hill
H0111,2,55,31.9,23.1,2022,Ben Hill
H0111,3,85,63.7,21.3,2022,Ben Hill
H0111,5,0,0,0,2022,Ben Hill
H1112,34,0,NA,NA,2022,Ben Hill
H1112,42,0,0,0,2022,Ben Hill
H1112,43,32.4,0,32.4,2022,Ben Hill
H1112,44,0,0,0,2022,Ben Hill
H1924,1,NA,NA,NA,2022,Ben Hill
H1924,4,NA,NA,NA,2022,Ben Hill
H5141,46,0,0,0,2022,Ben Hill
H5141,47,32.4,0,32.4,2022,Ben Hill
H5216,154,0,0,0,2022,Ben Hill
H5216,157,0,NA,NA,2022,Ben Hill
H5216,207,0,0,0,2022,Ben Hill
H5216,217,0,NA,NA,2022,Ben Hill
H5216,284,32.4,0,32.4,2022,Ben Hill
H5216,286,0,NA,NA,2022,Ben Hill
H6528,6,0,0,0,2022,Ben Hill
H8145,69,44,0,44,2022,Ben Hill
H8748,8,0,0,0,2022,Ben Hill
H8748,9,49,8,41,2022,Ben Hill
R2604,1,49,0,49,2022,Ben Hill
R2604,5,0,NA,NA,2022,Ben Hill
R3392,1,0,NA,NA,2022,Ben Hill
R3392,2,103,47.2,55.8,2022,Ben Hill
H0111,1,0,0,0,2022,Berrien
H0111,2,55,31.9,23.1,2022,Berrien
H0111,3,85,63.7,21.3,2022,Berrien
H0111,5,0,0,0,2022,Berrien
H1112,34,0,NA,NA,2022,Berrien
H1112,42,0,0,0,2022,Berrien
H1112,43,32.4,0,32.4,2022,Berrien
H1112,44,0,0,0,2022,Berrien
H1924,1,NA,NA,NA,2022,Berrien
H1924,4,NA,NA,NA,2022,Berrien
H5141,46,0,0,0,2022,Berrien
H5141,47,32.4,0,32.4,2022,Berrien
H5216,154,0,0,0,2022,Berrien
H5216,157,0,NA,NA,2022,Berrien
H5216,207,0,0,0,2022,Berrien
H5216,217,0,NA,NA,2022,Berrien
H5216,284,32.4,0,32.4,2022,Berrien
H5216,286,0,NA,NA,2022,Berrien
H5525,24,57,1.6,55.4,2022,Berrien
H6528,6,0,0,0,2022,Berrien
R2604,1,49,0,49,2022,Berrien
R2604,5,0,NA,NA,2022,Berrien
R3392,1,0,NA,NA,2022,Berrien
R3392,2,103,47.2,55.8,2022,Berrien
H0111,1,0,0,0,2022,Bibb
H0111,2,55,31.9,23.1,2022,Bibb
H0111,3,85,63.7,21.3,2022,Bibb
H0111,5,0,0,0,2022,Bibb
H1109,5,0,0,0,2022,Bibb
H1111,11,0,0,0,2022,Bibb
H1112,34,0,NA,NA,2022,Bibb
H1112,42,0,0,0,2022,Bibb
H1112,43,32.4,0,32.4,2022,Bibb
H1112,44,0,0,0,2022,Bibb
H1924,1,NA,NA,NA,2022,Bibb
H1924,4,NA,NA,NA,2022,Bibb
H3288,27,0,0,0,2022,Bibb
H3288,34,0,NA,NA,2022,Bibb
H3288,40,32,2.2,29.8,2022,Bibb
H4141,17,0,0,0,2022,Bibb
H5141,48,0,0,0,2022,Bibb
H5141,49,32.4,0,32.4,2022,Bibb
H5216,154,0,0,0,2022,Bibb
H5216,157,0,NA,NA,2022,Bibb
H5216,203,0,0,0,2022,Bibb
