contractid,planid,fips,plan_type,partd,avg_enrollment,avg_eligibles,avg_enrolled,premium,premium_partc,premium_partd,rebate_partc,ma_rate,bid,avg_ffscost,partc_score
H0111,1,13001,Local PPO,Yes,12.166666666666666,3963.4166666666665,2190,0,0,0,119.53,1024.63,820.8881922675026,10957.440071070236,3
H0111,1,13009,Local PPO,Yes,28.25,9245.833333333334,5504.916666666667,0,0,0,119.53,1023.79,820.8881922675026,10141.029852666492,3
H0111,1,13013,Local PPO,Yes,47.166666666666664,13986.416666666666,7437.583333333333,0,0,0,119.53,1036.99,820.8881922675026,11087.45923498609,3
H0111,1,13015,Local PPO,Yes,52.666666666666664,19792.083333333332,10180.666666666666,0,0,0,119.53,1045.39,820.8881922675026,11313.745095288168,3
H0111,1,13017,Local PPO,Yes,15.5,3749.5833333333335,2202.6666666666665,0,0,0,119.53,1040.71,820.8881922675026,9282.29460864448,3
H0111,1,13019,Local PPO,Yes,14.75,3854.8333333333335,1869.8333333333333,0,0,0,119.53,1002.88,820.8881922675026,11408.518632370447,3
H0111,1,13021,Local PPO,Yes,114.83333333333331,31203,16828,0,0,0,119.53,1054.57,820.8881922675026,10693.5893341537,3
H0111,1,13023,Local PPO,Yes,23.416666666666668,2609.25,1028.5,0,0,0,119.53,1016.05,820.8881922675026,11298.46528183688,3
H0111,1,13025,Local PPO,Yes,46.416666666666664,3602,1759.5,0,0,0,119.53,1052.07,820.8881922675026,10500.917964723303,3
H0111,1,13027,Local PPO,Yes,11,3717.5833333333335,2072.1666666666665,0,0,0,119.53,1044.73,820.8881922675026,10167.020765608617,3
H0111,1,13029,Local PPO,Yes,66.91666666666667,6574.833333333333,3035,0,0,0,119.53,1050.47,820.8881922675026,8996.590451792687,3
H0111,1,13033,Local PPO,Yes,44.25,5092,3143.75,0,0,0,119.53,1023.99,820.8881922675026,10478.239860221316,3
H0111,1,13035,Local PPO,Yes,40.5,4988.583333333333,2938.75,0,0,0,119.53,1047.08,820.8881922675026,10517.512270486735,3
H0111,1,13039,Local PPO,Yes,108.66666666666669,9907.75,3810.0833333333335,0,0,0,119.53,1004.79,820.8881922675026,10708.625484413482,3
H0111,1,13045,Local PPO,Yes,99.5,22149.5,11785.166666666666,0,0,0,119.53,1055.33,820.8881922675026,10706.759203935806,3
H0111,1,13047,Local PPO,Yes,12.714285714285714,14243.833333333334,6409.166666666667,0,0,0,119.53,1001.16,820.8881922675026,10073.563262875155,3
H0111,1,13049,Local PPO,Yes,12.25,2218.4166666666665,1018.6666666666666,0,0,0,119.53,1025.81,820.8881922675026,11346.907523565347,3
H0111,1,13051,Local PPO,Yes,539.25,53421.166666666664,27094.666666666668,0,0,0,119.53,1054.39,820.8881922675026,10205.7102928546,3
H0111,1,13057,Local PPO,Yes,186.25,47398.083333333336,21200.75,0,0,0,119.53,1025.75,820.8881922675026,11356.374859063182,3
H0111,1,13059,Local PPO,Yes,40.583333333333336,17860.916666666668,8574.333333333334,0,0,0,119.53,1036.89,820.8881922675026,9840.065130090576,3
H0111,1,13063,Local PPO,Yes,126.08333333333331,38379.666666666664,24460.833333333332,0,0,0,119.53,1092.91,820.8881922675026,9370.1237788637,3
H0111,1,13067,Local PPO,Yes,581.5,111213,50668.25,0,0,0,119.53,1065.36,820.8881922675026,10184.395836434986,3
H0111,1,13069,Local PPO,Yes,29.5,7245.166666666667,3941.25,0,0,0,119.53,1015.84,820.8881922675026,10554.941151230008,3
