contractid,org_name,org_type,plan_type,partial,eghp,ssa,fips,county,state,notes
H0111,"WELLCARE OF GEORGIA, INC.",Local CCP,Local PPO,NA,,11000,13001,Appling,GA,
H0111,"WELLCARE OF GEORGIA, INC.",Local CCP,Local PPO,NA,,11010,13003,Atkinson,GA,
H0111,"WELLCARE OF GEORGIA, INC.",Local CCP,Local PPO,NA,,11011,13005,Bacon,GA,
H0111,"WELLCARE OF GEORGIA, INC.",Local CCP,Local PPO,NA,,11020,13007,Baker,GA,
H0111,"WELLCARE OF GEORGIA, INC.",Local CCP,Local PPO,NA,,11030,13009,Baldwin,GA,
H0111,"WELLCARE OF GEORGIA, INC.",Local CCP,Local PPO,NA,,11040,13011,Banks,GA,
H0111,"WELLCARE OF GEORGIA, INC.",Local CCP,Local PPO,NA,,11050,13013,Barrow,GA,
H0111,"WELLCARE OF GEORGIA, INC.",Local CCP,Local PPO,NA,,11060,13015,Bartow,GA,
H0111,"WELLCARE OF GEORGIA, INC.",Local CCP,Local PPO,NA,,11070,13017,Ben Hill,GA,
H0111,"WELLCARE OF GEORGIA, INC.",Local CCP,Local PPO,NA,,11080,13019,Berrien,GA,
H0111,"WELLCARE OF GEORGIA, INC.",Local CCP,Local PPO,NA,,11090,13021,Bibb,GA,
H0111,"WELLCARE OF GEORGIA, INC.",Local CCP,Local PPO,NA,,11100,13023,Bleckley,GA,
H0111,"WELLCARE OF GEORGIA, INC.",Local CCP,Local PPO,NA,,11110,13025,Brantley,GA,
H0111,"WELLCARE OF GEORGIA, INC.",Local CCP,Local PPO,NA,,11120,13027,Brooks,GA,
H0111,"WELLCARE OF GEORGIA, INC.",Local CCP,Local PPO,NA,,11130,13029,Bryan,GA,
H0111,"WELLCARE OF GEORGIA, INC.",Local CCP,Local PPO,NA,,11150,13033,Burke,GA,
H0111,"WELLCARE OF GEORGIA, INC.",Local CCP,Local PPO,NA,,11160,13035,Butts,GA,
H0111,"WELLCARE OF GEORGIA, INC.",Local CCP,Local PPO,NA,,11170,13039,Camden,GA,
H0111,"WELLCARE OF GEORGIA, INC.",Local CCP,Local PPO,NA,,11180,13043,Candler,GA,
H0111,"WELLCARE OF GEORGIA, INC.",Local CCP,Local PPO,NA,,11190,13045,Carroll,GA,
H0111,"WELLCARE OF GEORGIA, INC.",Local CCP,Local PPO,NA,,11200,13047,Catoosa,GA,
H0111,"WELLCARE OF GEORGIA, INC.",Local CCP,Local PPO,NA,,11210,13049,Charlton,GA,
H0111,"WELLCARE OF GEORGIA, INC.",Local CCP,Local PPO,NA,,11220,13051,Chatham,GA,
H0111,"WELLCARE OF GEORGIA, INC.",Local CCP,Local PPO,NA,,11230,13053,Chattahoochee,GA,
H0111,"WELLCARE OF GEORGIA, INC.",Local CCP,Local PPO,NA,,11240,13055,Chattooga,GA,
H0111,"WELLCARE OF GEORGIA, INC.",Local CCP,Local PPO,NA,,11250,13057,Cherokee,GA,
H0111,"WELLCARE OF GEORGIA, INC.",Local CCP,Local PPO,NA,,11260,13059,Clarke,GA,
H0111,"WELLCARE OF GEORGIA, INC.",Local CCP,Local PPO,NA,,11280,13063,Clayton,GA,
H0111,"WELLCARE OF GEORGIA, INC.",Local CCP,Local PPO,NA,,11281,13065,Clinch,GA,
H0111,"WELLCARE OF GEORGIA, INC.",Local CCP,Local PPO,NA,,11290,13067,Cobb,GA,
H0111,"WELLCARE OF GEORGIA, INC.",Local CCP,Local PPO,NA,,11291,13069,Coffee,GA,
H0111,"WELLCARE OF GEORGIA, INC.",Local CCP,Local PPO,NA,,11300,13071,Colquitt,GA,
H0111,"WELLCARE OF GEORGIA, INC.",Local CCP,Local PPO,NA,,11310,13073,Columbia,GA,
H0111,"WELLCARE OF GEORGIA, INC.",Local CCP,Local PPO,NA,,11311,13075,Cook,GA,
H0111,"WELLCARE OF GEORGIA, INC.",Local CCP,Local PPO,NA,,11320,13077,Coweta,GA,
H0111,"WELLCARE OF GEORGIA, INC.",Local CCP,Local PPO,NA,,11330,13079,Crawford,GA,
H0111,"WELLCARE OF GEORGIA, INC.",Local CCP,Local PPO,NA,,11340,13081,Crisp,GA,
H0111,"WELLCARE OF GEORGIA, INC.",Local CCP,Local PPO,NA,,11341,13083,Dade,GA,
H0111,"WELLCARE OF GEORGIA, INC.",Local CCP,Local PPO,NA,,11350,13085,Dawson,GA,
H0111,"WELLCARE OF GEORGIA, INC.",Local CCP,Local PPO,NA,,11360,13087,Decatur,GA,
H0111,"WELLCARE OF GEORGIA, INC.",Local CCP,Local PPO,NA,,11370,13089,DeKalb,GA,
H0111,"WELLCARE OF GEORGIA, INC.",Local CCP,Local PPO,NA,,11380,13091,Dodge,GA,
H0111,"WELLCARE OF GEORGIA, INC.",Local CCP,Local PPO,NA,,11381,13093,Dooly,GA,
H0111,"WELLCARE OF GEORGIA, INC.",Local CCP,Local PPO,NA,,11400,13097,Douglas,GA,
H0111,"WELLCARE OF GEORGIA, INC.",Local CCP,Local PPO,NA,,11420,13101,Echols,GA,
H0111,"WELLCARE OF GEORGIA, INC.",Local CCP,Local PPO,NA,,11421,13103,Effingham,GA,
H0111,"WELLCARE OF GEORGIA, INC.",Local CCP,Local PPO,NA,,11430,13105,Elbert,GA,
H0111,"WELLCARE OF GEORGIA, INC.",Local CCP,Local PPO,NA,,11440,13107,Emanuel,GA,
H0111,"WELLCARE OF GEORGIA, INC.",Local CCP,Local PPO,NA,,11441,13109,Evans,GA,
H0111,"WELLCARE OF GEORGIA, INC.",Local CCP,Local PPO,NA,,11450,13111,Fannin,GA,
H0111,"WELLCARE OF GEORGIA, INC.",Local CCP,Local PPO,NA,,11451,13113,Fayette,GA,
